FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e8e,493619,POINT (16.294142960712758 48.143348474860346),PA Reklewskigasse,23,"Fitness, Fußball, Hängematte, Klettern, Rutschen, Sandspielen, Schaukeln, Seilbahn, Wippen","Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e8f,493620,POINT (16.31880114184232 48.23718380324251),Gerda-Lerner-Park,18,"Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e90,493621,POINT (16.39161026995987 48.26090776406486),PA Tetmajergasse,21,"Hüpfen, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Seilbahn, Streetball, Wasserspiel, Wippen","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e91,493622,POINT (16.374974922384038 48.190543791443226),GA St.-Elisabeth-Platz,4,"Karussell, Reck, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e92,493623,POINT (16.36790834512178 48.186656050861274),Alois-Drasche-Park,4,"Balancieren, Basketball, Fitnessgeräte, Fußball, Hängematte, Klettern, Rodelhügel, Sandspielen, Schaukeln, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e93,493624,POINT (16.338712609959913 48.22576151581245),Schubertpark,18,Balancieren,Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e94,493625,POINT (16.339185125005777 48.22683395311512),Schubertpark,18,", Basketball, Drehen, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Spieltier, Tischtennis, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e95,493626,POINT (16.388560594490233 48.148703094113664),PA Bergtaidingweg,10,"Klettern, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e96,493627,POINT (16.36835538442385 48.24014023460083),PA Spielmanngasse,20,"Balancieren, Hüpfen, Karussell, Klettern, Reck, Rutschen, Sand-Matsch, Schaukeln, Themenspiel Kuniburg, Wasserspiel, Wippen",Themenspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e97,493628,POINT (16.526121090872262 48.2147611529152),Bill-Grah-Park,22,"Klettern, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e98,493629,POINT (16.397875258630283 48.137238951409465),PA Bischofplatz,10,"Drehen, Klettern, Rutschen, Schaukeln, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e99,493630,POINT (16.368591543697548 48.17139086589306),PA Van-der-Nüll-Gasse,10,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e9a,493631,POINT (16.45018790499718 48.23221666982486),Otto-Affenzeller-Park,22,"Klettern, Rutschen, Schaukeln, Wippe",Spielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e9b,493632,POINT (16.359667238832884 48.242575593065276),Wertheimsteinpark,19,"Klettern, Rutschen, Sandspielen, Schaukeln, Slackline, Spielhaus, Wippen","Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e9c,493633,POINT (16.359629242521763 48.24352256674865),Wertheimsteinpark,19,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e9d,493634,POINT (16.384910533620623 48.1665585420053),Alfred-Böhm-Park,10,"Basketball, Fußball, Klettern, Rutschen, Sand-Matsch, Schaukeln, Seilbahn, Skaten, Spielhaus, Tischtennis, Volleyball","Ballspielkäfig, Ballspielplatz, Skaterpark, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e9e,493635,POINT (16.357778028594403 48.16519035776331),GA Stefan-Fadinger-Platz,10,Sandspielen,Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e9f,493636,POINT (16.308125842848078 48.22129568693372),Kongreßpark,16,"Klettern, Rutschen, Sandspielen, Schaukeln, Sinnesspiel, Slackline, Wippen","Kleinkinderspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2ea0,493637,POINT (16.30802638399303 48.222266508161276),Kongreßpark,16,"Balancieren, Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Spieltier, Tischtennis, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
